Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Директор по информационной безопасности Группы/Chief Information Security Officer,Finstar Financial Group,Опыт работы от 6 лет на соответствующей должности в сфере ИТ-безопасности (CISO). Высшее образование или эквивалентная квалификация уровня бакалавра. ,"Общее управление ИС в распределенной группе компаний финансовых услуг. Определение видения, целей и стратегии для ИС внутри группы компаний. ",Не указана,Более 6 лет,https://hh.ru/vacancy/121099307,121099307
GR-менеджер,UserGate,Высшее образование (предпочтительно по профилю Информационная безопасность). Опыт от 2-х лет в кибербезопасности и информационной безопасности,"Работа с профильными ассоциациями. Представление компании в технических комитетах, рабочих группах министерств и ведомств. Лоббирование интересов компании. Анализ изменений законодательства. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121046356,121046356
Мобильный системный инженер,Союз 76,"Опыт работы в аналогичной сфере приветствуется. Коммуникабельность, ответственность, желание развиваться и обучаться.","Обслуживание IT-оборудования на объектах заказчика (рабочие места, сервера, кассовые терминалы и тд). Предоставление отчетной документации по факту выполненных работ. ",100000 - 200000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121069532,121069532
Специалист по видеонаблюдению и мониторинга транспорта,ВСС,Высшее образование. Опыт работы в должности от 3-х лет. Готовность к редким и непродолжительным (до 2-х недель) командировкам. ,Установка и использование систем видеонаблюдения открытого и закрытого типа на технике и на территории объекта,120000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/121027154,121027154
Кадровый специалист по защите персональных данных,Управляющая компания Бамстроймеханизация,Наличие высшего образования и пройденных курсов повышения квалификации в области защиты персональных данных,"Проведение анализа процессов работы с персональными данными. Разработка локальных нормативных актов, планов, мероприятий",103448 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121054028,121054028
Специалист по защите информации,Министерство цифрового развития и связи Оренбургской области,"Будет Вашим преимуществом, если Вы: - имеете образование по направлениям ""Информационные технологии"" или ""Защита информации"". - знаете основы работы локально-вычислительных сетей. - ","работа на первой линии технической поддержки средств криптографической защиты информации (СКЗИ). - установка/настройка СКЗИ (VipnetClient, КриптоПро)",68000 -  RUR,Нет опыта,https://hh.ru/vacancy/120983185,120983185
Стажер по информационной безопасности,Лаборатория Касперского,"Интерес к области информационной безопасности, и желание в ней разбираться",Принимать участие в пилотировании и внедрении новых сервисов ИБ. Формировать требования ИБ и разрабатывать процессы контроля их реализации. ,Не указана,Нет опыта,https://hh.ru/vacancy/121023574,121023574
Системный инженер,Стандарт Строй,"Образование средне-техническое, или высшее, коммуникабельность. Знание компьютерного «железа», оргтехники, их ремонт и администрирование",Поддержание компьютерных сетей компании в работоспособном состоянии. Настройка и поддержка программного обеспечения на компьютерах,130000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120974196,120974196
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593424,120593424
Специалист по информационной безопасности,Блок Технологий,Знание и настройка средств защиты информации ведущих вендоров по ИБ. Опыт работы в сфере информационной безопасности,Установка и настройка средств защиты информации. Настройка средств защиты для оказания услуг клиентам. Оказание сервисов информационной безопасности,80000 RUR,Нет опыта,https://hh.ru/vacancy/117007345,117007345
DevOps инженер,IGA Technologies,Минимальный опыт работы DevOps-инженером на коммерческих проектах. Опыт работы с Kubernetes. Опыт написания Bash-скриптов. Знание систем мониторинга. ,"Установка и настройка приложений (виртуализация, Kubernetes). Подготовка, автоматизация подготовки инфраструктуры для сборки, развертывания и тестирования ПО (Ansible, Kubernetes, скрипты). ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121062562,121062562
Junior DevOps Engineer / Джуниор-DevOps-инженер,Островок,Опыт работы на схожей роли от одного года. Опыт работы с Linux. Знание Ansible. Знание Docker,Администрирование и поддержка работы сервисов. Настройка процессов сборки и доставки кода. Автоматизация и оптимизация рутинных действий.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120964056,120964056
DevOps Engineer (middle),Metacommerce,"Опыт работы с серверами Linux, пакетными менеджерами. Будет здорово, если есть опыт сборки собственных пакетов и организации репозиториев. ",Настраивать непрерывную интеграцию и доставку-развертывание (CI/CD) на GitLab. Находить и устранять неисправности в процессе CI/CD. ,150000 - 250000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120647195,120647195
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593430,120593430
Главный специалист по безопасности (Логистический центр),Почта России,"Обязательное знание владение Excel (формулы, сводные талицы, графики). Умение работать с базами данных, анализировать цепочки товародвижения в системе. ","Обеспечение физической безопасности объекта. Анализ и выявление потерь на складе, подготовка доказательной базы о месте возникновения потерь",90000 - 100000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/121086184,121086184
Ночной специалист по мониторингу мошенничества (Fraud Monitoring Specialist),Островок,"Опыт работы в в сферах аналитики, больших данных или центре поддержки/call-центре будет являться преимуществом","Обработка грей листа, почты, информации от банков и клиентов о возможных мошеннических действиях. Проверка пользователей на потенциальный фрод. ",70000 RUR,Нет опыта,https://hh.ru/vacancy/120478683,120478683
Сетевой инженер,RDP.RU,Законченное высшее или среднее специальное техническое образование. Опыт поиска и устранения неисправностей сетевого оборудования,"Инсталляция, настройка и сопровождение оборудования сети передачи данных внутри компании и на площадках партнеров и заказчиков",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121062867,121062867
DevOps-инженер,CDEK Pay,Опыт в работе Kubernetes/Docker и практический опыт работы с боевыми системами. Опыт администрирования различных семейств ОС Linux. ,"Выбором технологических решений и стратегией развития инфраструктуры. Исследовать, тестировать и внедрять новые инструменты в части DevOps, CI/CD, мониторинга. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120865326,120865326
Инженер по охране труда и пожарной безопасности,Автостэлс,Релевантный опыт от 5 лет. Знание действующего законодательства в ОТ и ПБ,Осуществление контроля за соблюдением законодательных и иных нормативно-правовых актов по охране труда,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120998938,120998938
Младший специалист по искусственному интеллекту,Devs Universe,"Понимание основ машинного обучения: архитектура трансформеров, механизм внимания (attention), принципы обучения с учителем и без учителя",Разметка данных для обучения языковых моделей.,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120911612,120911612
Специалист по информационной безопасности,МВД по Республике Мордовия,Техническое образование.,"Установка ПО, орг.техники. Администрирование локально-вычислительной сети.",65000 - 70000 RUR,Нет опыта,https://hh.ru/vacancy/120570784,120570784
Начинающий специалист по защите информации,Астерит,"1. Обязательно законченное высшее образование по специальности «Информационная (компьютерная) безопасность», «Защита информации» или по аналогичной специальности",1. Изучение технологического процесса обработки и хранения конфиденциальных данных заказчика. 2,55000 -  RUR,Нет опыта,https://hh.ru/vacancy/120447121,120447121
Специалист в сфере информационной безопасности министерства цифрового развития Воронежской области,Правительство Воронежской области,"Высшее образование (информационная безопасность; электроника, радиотехника и системы связи; информатика и вычислительная техника; радиотехника). Высокая обучаемость, самостоятельность, ответственность.","Участие в реализации защиты информации. Определение угроз безопасности информации, разработка и утверждение моделей угроз безопасности информации",49600 - 58200 RUR,Нет опыта,https://hh.ru/vacancy/121042619,121042619
Руководитель отдела информационной безопасности,Группа Компаний «СУ-555»,"Знание систем мониторинга. - Знание систем виртуализации. - Знание сетевых протоколов и технологий VPN. - Знание криптографических методов. - Знание AD, Ubuntu, Windows. ","Проведение регулярной оценки рисков, анализ состояния ИТ безопасности. - Реагирование на инциденты, управление уязвимостями, защита данных и предотвращение их потери. - ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121098266,121098266
DevOps-инженер,Postgres Professional,"Опыт работы с системами непрерывной интеграции (Jenkins/Gitlab CI). Опыт работы с системами управления версиями, в частности с Git. ",Подготовкой релизов продуктов компании. Отслеживанием состояния и приемкой компонентов продукта от разработчиков,Не указана,Более 6 лет,https://hh.ru/vacancy/120990191,120990191
Эксперт по экономической безопасности направления флота и фрахта,УК Деметра-Холдинг,,"Проведение мероприятий по изучению и прогнозированию обстановки на объектах, принадлежащих судоходным компаниям, входящим в периметр Холдинга",Не указана,Более 6 лет,https://hh.ru/vacancy/120985480,120985480
Junior DevOps engineer,Киберия,"Обладаешь базовыми знаниями CI/CD инструментов, предпочтительно GitLab CI. Имеешь опыт работы с Docker и понимание принципов контейнеризации. ","Работаешь с системами мониторинга (Grafana, Prometheus). Работаешь с базами данных (PostgreSQL, MongoDB).",Не указана,Нет опыта,https://hh.ru/vacancy/120761125,120761125
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593425,120593425
Администратор информационной безопасности,Калужская сбытовая компания,Высшее или среднее профессиональное образование в области информационной безопасности. Понимание основных принципов информационной безопасности,"Ведение текущей документации, журналов, учет СЗИ, СКЗИ и использованием сервиса Alfa-doc",74900 - 85500 RUR,Нет опыта,https://hh.ru/vacancy/120828444,120828444
Системный инженер,Градиент,Имеет техническое образование (желательно в IT или смежных областях). Работал системным инженером или на похожей позиции минимум 2 года. ,"Быстро решать IT-вопросы сотрудников, чтобы их работа шла как по маслу",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120421059,120421059
DevOps-разработчик,АНО ДПО Академия ИТ,"Опыт администрирования Ubuntu, Centos. Практический опыт работы с Docker/Docker-сompose, Kubernetes. Опыт работы с системами управления конфигурациями: аnsible/salt. ",Возможность работать над проектами с реальным влиянием на регион и IT-индустрию,150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121028703,121028703
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593427,120593427
DevOps-инженер Junior+/Middle,Фандог,"Базовые знания и понимание работы сетей. Опыт администрирования OS Linux. Самостоятельность и инициативность. Коммуникабельность. Опыт работы с Kubernetes, AWS.","Администрирование, поддержка и развитие серверной инфраструктуры компании. Обеспечение работоспособности систем и сервисов. Поддержка нескольких сотен облачных серверов",190000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120542831,120542831
Начальник сервисного и гарантийного обслуживания,МРО ВДПО,образование не ниже среднего профессионального. - опыт работы приветствуется. - права кат.Б.,"1. Организация и контроль обслуживания объектов слаботочных систем (охранно-пожарная сигнализация, видеонаблюдение). 2",100000 RUR,Нет опыта,https://hh.ru/vacancy/121072647,121072647
Специалист по монтажу СКС и настройки оборудования,Союз 76,Опыт работы в сфере монтажа и настройки кассового оборудования приветствуется. - Знание принципов работы СКС и систем видеонаблюдения,"Проведение работ на объектах заказчика: Краснодар, Туапсе, Сочи. - Прокладка линий структурированной кабельной системы (СКС). - Перенос кассового оборудования",150000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120956371,120956371
Инженер информационных технологий,СТАРСТРОЙ,Среднее профессиональное образование. Стаж работы от 3 лет.,"Администрирование AD. Техническая поддержка пользователей, удаленное администрирование Windows 7-11. Устранение неисправностей, профилактика копировальной печатной техники",120000 - 125000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120720162,120720162
Системный инженер,Системный оператор Единой энергетической системы,Высшее образование в сфере ИТ. Опыт работы системным администратором/системным инженером/сетевым администратором/техническим специалистом от 1 года. ,Оперативное обслуживание и восстановление работоспособности информационных систем (каналов и средств связи). Диагностика и самостоятельное восстановление работоспособности отказавших элементов информационных систем. ,98400 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121000421,121000421
Тимлид по информационной безопасности,DatsTeam,Опыт работы в сфере информационной безопасности от 7 лет,Построение корпоративной системы безопасности (противодействие широкому спектру угроз: от фишинга и социальной инженерии до выявления инсайдеров и построения процессов реагирования). ,Не указана,Более 6 лет,https://hh.ru/vacancy/120975511,120975511
Начинающий инженер по информационной безопасности,Ростелеком - Центры обработки данных,Законченное образование в области ИБ/ИТ или быть учеником последних курсов в университете. Базовые знания по администрированию операционных систем. ,Обработка обращений через Service Desk. Аналитика поступающих обращений пользователей. Участие в реагировании на инциденты ИБ,Не указана,Нет опыта,https://hh.ru/vacancy/120538947,120538947
Специалист по защите информации,Национальный Медицинский Исследовательский Центр Онкологии,"Высшее образование - бакалавриат в области информационной безопасности. Знание стандартов и фреймворков ИБ (ISO 27001, NIST, MITRE ATT&CK). ",Анализ и обеспечение защиты IT-инфраструктуры компании от киберугроз,150000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120897418,120897418
DevOps-инженер (Junior),Панина Анастасия Александровна,Jenkins. GitLab CI. Ansible. Kubernetes. Nginx. Vault. Docker / Docker Compose.,Поддержка тестовых окружений. Перенос сервисов в Kubernetes. Автоматизация сборки и доставки приложений (CI/CD). Написание и доработка ролей Ansible. ,70000 -  RUR,Нет опыта,https://hh.ru/vacancy/120227317,120227317
Ведущий специалист по информационной безопасности,Эгида,"Высшее образование КФУ (технические факультеты), КНИТУ им. Туполева, КГЭУ Специалист по защите информации, инженер информационных систем",Обеспечение сохранности данных и защита от несанкционированного доступа к информации в Группе Компаний. Консалтинг безопасности работы информационных систем Группы Компаний. ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120950087,120950087
Специалист по информационной безопасности,Время-Ч,,Планирование мероприятий по обеспечению безопасности объектов критической информационной инфраструктуры (КИИ). Участие в категорировании объектов КИИ. Разработка модели угроз и нарушителей. ,90000 - 130000 RUR,Нет опыта,https://hh.ru/vacancy/120916413,120916413
Системный инженер,АртЭКС,"Администрирование UNIX-подобных ОС (Linux, FreeBSD) — более 5 лет","Системное администрирование, DevOps, разработка ПО низкого уровня, сетевые решения высокой производительности. Контейнеризация и инфраструктура на базе Docker",200000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/121099836,121099836
Специалист по информационной безопасности (ИБ),Кортекс,Высшее образование в сфере информационной безопасности. Опыт работы в ИБ от 3-х лет,"Обеспечение защиты информационных активов компании. Мониторинг и предотвращение киберугроз, реагирование на инциденты ИБ",500000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120593431,120593431
Инженер-программист/DevOps,Стартколор,Усидчивость и аналитический склад ума. Внимание к деталям и ответственность. Готовность обучаться и развиваться в IT-сфере,Сборка и настройка рабочих мест пользователей. Техническая поддержка пользователей приложения. Документирование процессов и решение инцидентов,50000 -  RUR,Нет опыта,https://hh.ru/vacancy/121037607,121037607
DevOps-инженер,Digital Agency Siart,Опыт работы с Linux. Администрирование серверов. Знание сетевых технологий,"Развертывание, конфигурирование и оптимизация серверов для web-проектов. CI/DI.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121041223,121041223
Ведущий сетевой инженер,TQB Russia,"Опыт на аналогичной позиции от 5-6 лет. Опыт работы с L2/L3 (STP, LACP, OSPF, BGP). ",Обслуживать распределенную сетевую инфраструктуру. Проектировать новые сетевые решения. Самостоятельно выбирать и настраивать сетевое оборудование. Разрабатывать техническую документацию по части сетей.,430000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120709603,120709603
DevOps инженер,VICTORY group,"Знание Unix-систем, Bash-скриптов. Администрирование Unix-систем, настройка серверов. Знание Docker. PgBouncer. Nginx. Знание Python. Опыт построения CI/CD. ","Администрирование серверов Linux, СУБД Postgres, git etc.. Настройка ролей и доступов к VDS. Настройка прикладного ПО в Linux-окружении. ",150000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120353088,120353088
Junior DevOps специалист,Digital Spirit,"Опыт администрирования Linux-систем (от года). Знание одного из инструментов управления конфигурациями (Ansible, Puppet, Salt и т.д.). ",Развитие и сопровождение инфраструктуры для разработки и тестирования продуктов линейки «ЗАКРОМА»,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120997094,120997094
Ведущий специалист мобилизационной службы,Транснефть - Дружба,"Высшее образование (бакалавриат, специалитет) и дополнительное образование, программы повышения квалификации в области мобилизационной подготовки и мобилизации.",,65000 - 86000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120813973,120813973
"QA Engineer (сети, Linux)",ТехАргос,"Уверенные знания сетевых технологий, протоколов. Опыт работы с сетевым оборудованием, понимание принципов коммутации и. Маршрутизации. Знания в области обеспечения качества. ","Анализ технических заданий на разрабатываемый функционал, системных и бизнес требований. Разработка тест-планов для дальнейшего ручного тестирования",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/120420688,120420688
Специалист по гражданской обороне и мобилизационной работе,БУЗ ВО ВГКБСМП № 8,,,60000 -  RUR,Нет опыта,https://hh.ru/vacancy/121043764,121043764
Сетевой инженер,Клауд Солюшенс,"Уверенное знание базовых сетевых технологий Routing&Switching: L2 Switching (STP/MST), L3 Routing (OSPF/ISIS/BGP). ","Техническая поддержка сетевой инфраструктуры крупного Cloud провайдера. Диагностика, выявление и устранение сбоев в работе сетевой инфраструктуры",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117488949,117488949
Стажёр по ИБ,НВК Космософт,Неоконченное высшее образование в области защиты информации. Понимание современных угроз информационной безопасности и способов защиты от них,Изучение объектов оценки. Проведение функционального тестирования. Формирование требований к доработкам ПО. Формирование требований к предоставляемой Заказчиком информации,Не указана,Нет опыта,https://hh.ru/vacancy/120720496,120720496
"Эксперт по нормативно-правовой работе (GR, ИБ)",Солар,"Высшее, юридическое образование. Профильный опыт работы в сфере информационной безопасности и информационных технологий. Опыт работы в федеральных органах исполнительной власти. ",,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121036190,121036190
Инженер по информационным технологиям,Победит,,,100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120852111,120852111
Ведущий специалист / замначальника отдела серверных технологий и инфраструктурных сервисов,Мидзухо Банк (Москва),"Оконченное высшее техническое образование, предпочтительно в области информационных технологий",,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/121093521,121093521
DevOps-инженер,Soft Media Group,"Опыт работы в должности devops от полугода года. Опыт работы с Chat GPT, Jira, Confluence и аналогичными инструментами. ","Поддержка инфраструктуры – помощь в настройке, обновлении и мониторинге сервисов компании",100000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120870124,120870124
Стажер в команду информационной безопасности,КРОК,Ориентация в решениях ИБ. Базовое понимание технологий построения и защиты информационных систем. Грамотная устная и письменная речь. Хорошие коммуникативные навыки. ,Участие в проработке проектных ИБ решений. Участие в подготовке спецификаций предлагаемых решений. Участие в подготовке технических описаний выполняемых работ. ,Не указана,Нет опыта,https://hh.ru/vacancy/121088159,121088159
Инженер отдела внедрения,Опен Сервис,Знание системы автоматизации iiko. Пунктуальность и ответственность. Продвинутый пользователь ПК. Опыт работы с кассовыми аппаратами будет являться преимуществом.,"Прием и обработка заявок в системе servicedesk. Диагностика, настройка и восстановление работоспособности ПО iiko на объекте клиента",75000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120273740,120273740
Ведущий инженер,ИОЛО,Будет преимуществом опыт работы монтажником/инженером в сфере связи и телекоммуникаций. Кандидаты с минимальным опытом монтажника (ЗП после собеседования).,"создание и модернизация СКС (прокладка кабельных линий, монтаж и демонтаж ТКШ с установкой патч-панелей, органайзеров, блоков розеток ). -",70000 - 130000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120838053,120838053
Инженер инфраструктурных решений,Эксперт Плюс,Хорошее знание linux-based систем (debian based в основном). Опыт работы с серверным и сетевым оборудованием,Администрирование инфраструктурных узлов (аппаратных серверов и виртуальных машин). Администрирование системы виртуализации (vmware vcenter). Поддержка отказоустойчивых систем,300000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120887771,120887771
Специалист по информационной безопасности и OSINT технологиям,Петухов Антон Сергеевич,Базовые знания в области информационной безопасности. Умение работать с различными источниками информации. Аналитическое мышление и внимание к деталям. ,Обеспечение защиты информации и предотвращение несанкционированного доступа к данным. Мониторинг и анализ инцидентов информационной безопасности,110000 -  RUR,Нет опыта,https://hh.ru/vacancy/120103423,120103423
Специалист по пожарной безопасности (проведение аудита),Борса,Опыт проведения аудита пожарной безопасности.,Фотофиксация нарушений требований ПБ на обследуемых объектах- однотипных складских помещениях прямоугольной формы до 200-300 м.кв.,200000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/121044493,121044493
Специалист по информационной безопасности,"МГУ имени М. В. Ломоносова, институт механики",Умение работать на компьютере. Высшее образование. Знание офисных программ. Умение работать с нормативными документами и освоение новых нормативных документов. ,Составление документов. Набор текста.,Не указана,Нет опыта,https://hh.ru/vacancy/121078068,121078068
Инженер инфраструктурных решений,Эксперт Плюс,Хорошее знание linux-based систем (debian based в основном). Опыт работы с серверным и сетевым оборудованием,Администрирование инфраструктурных узлов (аппаратных серверов и виртуальных машин). Администрирование системы виртуализации (vmware vcenter). Поддержка отказоустойчивых систем,300000 - 300000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120887768,120887768
Ведущий специалист мобилизационной службы,Транснефть - Дружба,"Высшее образование (бакалавриат, специалитет) и дополнительное образование, программы повышения квалификации в области мобилизационной подготовки и мобилизации.",,65000 - 86000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120814021,120814021
Директор по информационной безопасности,СитиБайк,"Опыт: от 6 лет. Высшее образование в области ИТ/ИБ. Знание основных вендоров СЗИ, СКЗИ","Лидирование функции информационной безопасности. Внедрение, настройка и сопровождение средств обеспечения кибербезопасности. Актуализация и разработка внутренних нормативных документов",250000 - 250000 RUR,Более 6 лет,https://hh.ru/vacancy/121046570,121046570
Сетевой администратор,Юговской Комбинат Молочных Продуктов,"Опыт работы в должности системного администратора от 3-5, желательно с аналогичным функционалом. Высшее или среднее профессиональное профильное образование. ","Эксплуатация серверного оборудования. Выполнение задач по администрированию серверов 1С:Предприятие, администрированию СУБД MS SQL, Postgres SQL. Настройка сетевого оборудования. ",95000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120841146,120841146
Специалист мониторинга и реагирования (ИБ),Рунити,Понимание основ ИБ,Выявление и анализ инцидентов ИБ с использованием SIEM и других инструментов мониторинга. Реагирование на инциденты ИБ,Не указана,Нет опыта,https://hh.ru/vacancy/117739094,117739094
DevOps,Кадровое агентство HireWay,Базовые знания в области DevOps и желание развиваться в этой сфере. Понимание принципов работы CI/CD,Автоматизация процессов развертывания и управления инфраструктурой. Настройка и поддержка CI/CD пайплайнов. Мониторинг и оптимизация производительности систем,150000 -  RUR,Нет опыта,https://hh.ru/vacancy/120156471,120156471
Дежурный системный инженер,Кронверк Лаб,Опыт администрирования ОС семейства GNU\Linux (RedHat),"Работа в смену 24/7 (удаленно). Работа с инсталляциями заказчиков: администрирование, мониторинг, восстановление сервисов и компонентов на серверах (Linux). ",90000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120363464,120363464
Инженер сопровождения ПО,HRlink,Владение командной строкой Linux (базовые операции с файлами и директориями). Понимание клиент-серверного взаимодействия. Понимание механизмов работы REST API. ,Разворачивать наше веб-приложение на сервере клиента и поддерживать актуальную версию после релизов,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/121080042,121080042
