Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка,ID
Системный администратор,МОНЕТА,"Знает матчасть сетевого и серверного железа, не боится его, оперативно и эффективно находит сбои и может их устранить. ","В Монете мы разрабатываем свою технологичную SaaS-платформу, с помощью которой компании создают финансовые и платёжные решения в режиме «конструктора». ",117000 - 180000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/120415042,120415042
Senior DevOps-инженер (Crypto),ТРИАТЕК,"Опыт работы с облачными платформами. Уверенное владение контейнеризацией (Docker, Docker Compose). Опыт работы с Kubernetes и написания Helm чартов. ",Проектирование и поддержка отказоустойчивой инфраструктуры (у нас Alibaba Cloud). Автоматизация процессов развертывания и обновления сервисов,5000 -  USD,От 3 до 6 лет,https://hh.ru/vacancy/119693102,119693102
General On-Prem DevOps инженер,WaveAccess,,"Проектирование, развертывание, ввод в эксплуатацию, организация поддержки масштабируемой облачной платформы",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120604120,120604120
Инженер технической поддержки (помощник инженера/DevOps),Majordomo,"Уверенно работали в командной строке bash, знали основные утилиты GNU",Решение технических проблем клиентов с их web сайтами и серверами . Общение с клиентами в тикет системе (телефонных звонков нет). ,45000 - 65000 RUR,Нет опыта,https://hh.ru/vacancy/120403576,120403576
Ведущий специалист по информационной безопасности,СЗ Первостроитель,Высшее образование в области защиты информации или информационных технологий. Опыт работы не менее 3-х лет обязателен,"Аудит информационной безопасности. Реагирование на информационные инциденты, сопровождение служебных проверок в области информационной безопасности",117000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/120450359,120450359
Специалист по расследованию и реагированию на инциденты ИБ,Positive Technologies,"Опыт работы с основными инструментами digital forensics, threat intelligence, network forensics, reverse engineering",Расследование и реагирование на инциденты информационной безопасности,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120477968,120477968
Системный инженер Linux,Открытые Технологии,,Развертывание систем в средах Заказчика. Поддержка систем Заказчика. Разработка эксплуатационной документации. Разработка сценариев автоматического развертывания,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/120718072,120718072
DevSecOps,Банк ПСБ,Понимание сетевой модели OSI (стек TCP/IP) и работы протокола http. Опыт работы в Linux системах. Опыт работы с Docker. ,"Участие в построении процессов DevSecOps во внедряемых системах. Участие в процессе построения безопасной среды исполнения кода на базе Docker, kubernetes. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/107129235,107129235
Специалист по информационной безопасности(системный администратор)),ГУЗ Городской родильный дом,"Высшее, средне специальное образование в области ИБ, ИТ",Обеспечение информационной безопасности. Разработка организационной и распорядительной документации. Установка средств защиты информации,60000 - 60000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118672835,118672835
Главный специалист по обслуживанию систем информационной безопасности,Филиал ПАО Россети Волга-Саратовские РС,Знание протоколов статической и динамической маршрутизации. Умение настраивать и устранять неполадки в маршрутизаторах и коммутаторах,Техническая поддержка эксплуатации корпоративных систем информатизации Общества и программных комплексов автоматизации бизнес–процессов в филиале,77996 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/120817910,120817910
